"country","facebookUsers","pop2021"
"Vanuatu","63000","314.4640"
"Antigua and Barbuda","62000","98.7310"
"Grenada","62000","113.0210"
"Saint Vincent and the Grenadines","61000","111.2630"
"Sao Tome and Principe","58400","223.3680"
"Tonga","54000","106.7600"
"Isle of Man","50000","85.4100"
"Cayman Islands","48000","66.4970"
"Andorra","42000","77.3550"
"Bermuda","39000","62.0900"
"Dominica","39000","72.1670"
"Greenland","38000","56.8770"
"Northern Mariana Islands","36000","57.9170"
"Saint Kitts and Nevis","35000","53.5440"
"Faroe Islands","33000","49.0490"
"Sint Maarten","31000","43.4120"
"Kiribati","30000","121.3920"
"Western Sahara","27000","611.8750"
"Turks and Caicos Islands","25000","39.2310"
"Gibraltar","23000","33.6980"
"American Samoa","22000","55.1000"
"United States Virgin Islands","22000","104.2260"
"Eritrea","21900","3601.4670"
"Micronesia","21000","116.2540"
"Marshall Islands","20000","59.6100"
"Saint Martin","15000","39.2340"
"Liechtenstein","14000","38.2500"
"North Korea","14000","25887.0410"
"Monaco","13000","39.5110"
"British Virgin Islands","12000","30.4210"
"Anguilla","9000","15.1170"
"Cook Islands","8600","17.5650"
"San Marino","7900","34.0170"
"Palau","5800","18.1690"
"Nauru","3400","10.8760"
"Wallis and Futuna","3400","11.0940"
"Falkland Islands","3100","3.5330"
"Montserrat","2600","4.9770"
"Tuvalu","1700","11.9310"
"Niue","820","1.6190"
"Tokelau","410","1.3730"
"Vatican City","20","0.8000"
"Cuba","","11317.5050"
